th,trial,time
1,1,0.013157
1,2,0.014216
1,3,0.01306
1,4,0.009685
1,5,0.014151
,,
2,1,0.011275
2,2,0.011109
2,3,0.011237
2,4,0.011522
2,5,0.011599
,,
4,1,0.006595
4,2,0.006519
4,3,0.006645
4,4,0.006621
4,5,0.006605
,,
8,1,0.003723
8,2,0.003759
8,3,0.003614
8,4,0.003688
8,5,0.003712
,,
16,1,0.002631
16,2,0.002436
16,3,0.002535
16,4,0.002502
16,5,0.00255
,,
32,1,0.018778
32,2,0.013526
32,3,0.013538
32,4,0.013557
32,5,0.013554
