th, trial, time,,
1,1,0.075506
1,2,0.072252
1,3,0.072793
1,4,0.072226
1,5,0.075861
,,,,
2,1,0.089366,,
2,2,0.093735,,
2,3,0.088507,,
2,4,0.088810,,
2,5,0.088661,,
,,,,
4,1,0.052944,,
4,2,0.052719,,
4,3,0.052936,,
4,4,0.052733,,
4,5,0.052616,,
,,,,
8,1,0.030614,,
8,2,0.031554,,
8,3,0.030817,,
8,4,0.030690,,
8,5,0.030664,,
,,,,
16,1,0.018975,, 
16,2,0.018463,,
16,3,0.018211,,
16,4,0.018303,,
16,5,0.018168,,
,,,,
32,1,0.025059,,
32,2,0.024866,,
32,3,0.024847,,
32,4,0.021453,,
32,5,0.022406,,
