th, trial, time
1,1,0.075506
1,2,0.072252
1,3,0.072793
1,4,0.072226
1,5,0.075861
,,
2,1,0.083325
2,2,0.087657
2,3,0.083111
2,4,0.082592
2,5,0.062596
,,
4,1,0.052612
4,2,0.051605
4,3,0.051675
4,4,0.050471
4,5,0.051842
,,
8,1,0.031395
8,2,0.0314
8,3,0.031415
8,4,0.031474
8,5,0.032552
,,
16,1,0.018661
16,2,0.017401
16,3,0.018359
16,4,0.01769
16,5,0.017809
,,
32,1,0.020003
32,2,0.022952
32,3,0.021205
32,4,0.024783
32,5,0.024378
