th, trial, time
1,1,0.008554
1,2,0.008484
1,3,0.008575
1,4,0.008516
1,5,0.008567
,,
2,1,0.008576
2,2,0.009465
2,3,0.009513
2,4,0.009496
2,5,0.009448
,,
4,1,0.005731
4,2,0.005558
4,3,0.005573
4,4,0.005611
4,5,0.005565
,,
8,1,0.003522
8,2,0.003525
8,3,0.00353
8,4,0.003506
8,5,0.003537
,,
16,1,0.004349
16,2,0.003997
16,3,0.002949
16,4,0.003082
16,5,0.002964
,,
32,1,0.012448
32,2,0.014054
32,3,0.014883
32,4,0.015029
32,5,0.015215
